name,fadeaway_count,made_fadeaway_count,fadeaway_percentage
L. James,19,6,31.6
D. Booker,19,6,31.6
J. Embiid,19,11,57.9
C. Anthony,18,7,38.9
A. Gordon,15,4,26.7
D. DeRozan,14,8,57.1
J. Randle,14,7,50.0
K. Leonard,13,4,30.8
A. Davis,12,1,8.3
L. Williams,11,6,54.5
J. Tatum,11,4,36.4
N. Jokic,10,5,50.0
R. Westbrook,10,4,40.0
N. Vucevic,9,3,33.3
I. Smith,8,2,25.0
R. Rubio,8,3,37.5
T. McConnell,8,3,37.5
C. LeVert,8,5,62.5
K. Middleton,7,4,57.1
B. Ingram,7,4,57.1
H. Barnes,7,3,42.9
J. Murray,7,5,71.4
T. Warren,6,1,16.7
P. George,6,1,16.7
G. Hayward,6,2,33.3
L. Aldridge,6,3,50.0
R. Hachimura,6,1,16.7
E. Mudiay,6,2,33.3
J. Butler,6,2,33.3
J. Grant,5,2,40.0
D. Mitchell,5,0,0.0
J. Brown,5,1,20.0
M. Scott,5,4,80.0
C. McCollum,5,1,20.0
J. Holiday,5,3,60.0
K. Kuzma,4,0,0.0
J. Valanciunas,4,4,100.0
M. Morris Sr.,4,0,0.0
B. Simmons,4,2,50.0
D. Lillard,4,2,50.0
B. Lopez,4,2,50.0
D. Rose,4,2,50.0
M. Turner,4,3,75.0
R. Neto,4,3,75.0
P. Siakam,4,0,0.0
W. Cauley-Stein,4,2,50.0
R. Gay,4,1,25.0
M. Fultz,4,0,0.0
C. Paul,4,0,0.0
K. Love,4,4,100.0
A. Horford,3,1,33.3
P. Millsap,3,2,66.7
D. Murray,3,1,33.3
Q. Cook,3,2,66.7
E. Bledsoe,3,0,0.0
D. Ayton,3,1,33.3
D. Augustin,3,0,0.0
T. Harris,3,3,100.0
D. Fox,3,1,33.3
D. Gallinari,3,3,100.0
A. Burks,3,2,66.7
J. Isaac,3,1,33.3
K. Lowry,3,0,0.0
M. Bridges,3,1,33.3
K. Porzingis,3,1,33.3
J. Barea,3,1,33.3
M. Porter Jr.,3,0,0.0
G. Trent Jr.,2,1,50.0
Z. Williamson,2,2,100.0
D. Garland,2,1,50.0
G. Dragic,2,0,0.0
F. Ntilikina,2,1,50.0
B. Beal,2,0,0.0
E. Payton,2,1,50.0
J. Hart,2,0,0.0
D. Robinson,2,1,50.0
J. Nurkic,2,1,50.0
J. Redick,2,1,50.0
D. Waiters,2,0,0.0
E. Fournier,2,0,0.0
D. Bertans,2,1,50.0
A. Iguodala,2,1,50.0
T. Gibson,2,0,0.0
K. Olynyk,2,1,50.0
M. Belinelli,2,0,0.0
S. Curry,2,1,50.0
V. Oladipo,2,1,50.0
V. Carter,2,1,50.0
T. Luwawu-Cabarrot,2,0,0.0
T. Jerome,2,1,50.0
T. Prince,2,1,50.0
S. Milton,2,2,100.0
T. Hardaway Jr.,2,0,0.0
R. Hollis-Jefferson,2,1,50.0
R. Kurucs,2,0,0.0
P. Connaughton,2,1,50.0
L. Doncic,2,1,50.0
J. Martin,1,0,0.0
M. Dellavedova,1,1,100.0
K. Allen,1,1,100.0
J. Richardson,1,1,100.0
J. Okafor,1,0,0.0
J. McGee,1,1,100.0
K. Porter Jr.,1,0,0.0
H. Whiteside,1,1,100.0
K. Walker,1,0,0.0
H. Diallo,1,1,100.0
J. Harden,1,1,100.0
J. Green,1,0,0.0
J. Culver,1,1,100.0
J. Brunson,1,1,100.0
E. Okobo,1,0,0.0
M. Gasol,1,1,100.0
F. Mason,1,0,0.0
N. Little,1,1,100.0
E. Paschall,1,0,0.0
M. Morris,1,0,0.0
M. Muscala,1,0,0.0
M. Oni,1,0,0.0
M. Plumlee,1,0,0.0
G. Robinson III,1,1,100.0
M. Smart,1,0,0.0
G. Antetokounmpo,1,0,0.0
M. Harkless,1,0,0.0
M. Wagner,1,0,0.0
N. Melli,1,1,100.0
M. Chriss,1,0,0.0
O. Anunoby,1,0,0.0
F. Jackson,1,1,100.0
P. Dozier,1,0,0.0
A. Cleveland,1,1,100.0
M. Carter-Williams,1,0,0.0
C. Osman,1,0,0.0
M. Conley,1,1,100.0
L. Galloway,1,0,0.0
Z. Smith,1,0,0.0
T. Bryant,1,1,100.0
T. Brown Jr.,1,1,100.0
K. Bazemore,1,0,0.0
T. Antetokounmpo,1,0,0.0
S. Ojeleye,1,0,0.0
S. Ibaka,1,0,0.0
S. Gilgeous-Alexander,1,1,100.0
S. Doumbouya,1,1,100.0
D. McDermott,1,0,0.0
D. Powell,1,1,100.0
R. Tucker,1,0,0.0
D. Smith Jr.,1,0,0.0
D. Sabonis,1,0,0.0
D. Russell,1,1,100.0
Z. LaVine,1,0,0.0
Z. Collins,1,1,100.0
Y. Ferrell,1,0,0.0
B. Portis,1,0,0.0
E. Ilyasova,1,0,0.0
P. Mills,1,0,0.0
R. Covington,1,0,0.0
R. Barrett,1,0,0.0
C. Sexton,1,0,0.0
C. Edwards,1,1,100.0
T. Lyles,1,0,0.0
W. Matthews,1,1,100.0
T. Mann,1,1,100.0
B. Marjanovic,1,0,0.0
B. Bogdanovic,1,0,0.0
A. Wiggins,1,0,0.0
V. Law,1,1,100.0
A. Drummond,1,1,100.0
K. Knox II,1,0,0.0
